[00:00.10 -> 00:01.18]  So welcome back again.
[00:01.70 -> 00:03.12]  It's time to solve one more problem.
[00:03.46 -> 00:04.16]  Now in this problem,
[00:04.68 -> 00:06.44]  we need to evaluate sec square theta
[00:06.90 -> 00:08.10]  minus tan square theta.
[00:08.54 -> 00:13.54]  This is not a calculation question. This is a direct identity question. So we only need to remember the standard
[00:13.98 -> 00:15.28]  trigonometric identity.
[00:16.10 -> 00:16.64]  We know that
[00:17.06 -> 00:20.28]  sec square theta is equal to one plus tan square theta.
[00:20.70 -> 00:22.88]  Now move tan square theta to the other side.
[00:23.24 -> 00:24.18]  So sec square theta
[00:24.70 -> 00:26.88]  minus tan square theta is equal to one.
[00:27.38 -> 00:29.76]  That is exactly what the question is asking.
[00:30.20 -> 00:30.54]  Done.
[00:31.04 -> 00:32.84]  No value of theta is needed here.
[00:33.70 -> 00:34.12]  Hence,
[00:34.56 -> 00:38.20]  sec square theta minus tan square theta is equal to one.
[00:38.74 -> 00:40.64]  So the correct option is option C.
