[00:00.10 -> 00:01.06]  So welcome back again.
[00:01.84 -> 00:03.76]  It's time to solve one more problem.
[00:04.30 -> 00:05.04]  Now in this problem,
[00:05.50 -> 00:08.30]  a passenger is sitting inside a train moving at
[00:08.76 -> 00:10.80]  thirty-six kilometer per hour.
[00:11.40 -> 00:12.78]  He sees another train of length
[00:13.20 -> 00:17.46]  one hundred eighty meters coming from the opposite direction at fifty-four kilometers per hour.
[00:18.02 -> 00:22.80]  The question is asking us to find how much time the other train takes to completely pass the passenger.
[00:23.20 -> 00:24.46]  Now, the important point here is
[00:24.88 -> 00:27.44]  that the passenger is treated as a point.
[00:27.84 -> 00:29.22]  Since a passenger has no length,
[00:29.60 -> 00:31.76]  the other train only needs to cover its own length,
[00:32.16 -> 00:33.80]  which is one hundred eighty meter.
[00:34.50 -> 00:36.40]  The trains are moving in opposite directions.
[00:36.72 -> 00:37.46]  What does that mean?
[00:37.80 -> 00:39.38]  It means their speeds add up.
[00:39.78 -> 00:42.74]  So the relative speed will be thirty-six plus fifty-four
[00:43.46 -> 00:45.42]  equals ninety kilometer per hour.
[00:46.04 -> 00:50.48]  Now we need the speed in meter per second. So ninety times five by eighteen
[00:51.14 -> 00:53.06]  equals twenty-five meters per second.
[00:53.56 -> 00:53.86]  Done.
[00:54.56 -> 00:55.78]  Now we have everything we need.
[00:56.50 -> 01:00.88]  We know distance equals length of the other train equals one hundred eighty meters.
[01:01.36 -> 01:03.86]  Relative speed equals twenty-five meters per second.
[01:04.40 -> 01:05.24]  Using the formula,
[01:05.70 -> 01:08.10]  time equals distance divided by speed.
[01:08.64 -> 01:15.46]  So time equals one hundred eighty divided by twenty-five. After calculating this, we get time equals seven point two seconds.
[01:16.24 -> 01:21.98]  Hence, the other train takes seven point two seconds to completely pass the passenger.
[01:22.48 -> 01:24.70]  So the correct option is option D.
