[00:00.10 -> 00:01.42]  So welcome back again.
[00:01.86 -> 00:03.02]  Time for one more problem.
[00:03.42 -> 00:06.64]  Now, in this problem, we are given that the speed of the boat in still water
[00:07.20 -> 00:09.18]  is 18 kilometer per hour.
[00:09.74 -> 00:11.16]  Also, the speed of the stream is
[00:11.68 -> 00:12.92]  four kilometer per hour.
[00:13.48 -> 00:17.12]  The question is asking us to find the upstream speed of the boat.
[00:17.56 -> 00:20.52]  Now, before using the formula, let us understand the concept.
[00:21.04 -> 00:22.48]  When a boat moves upstream,
[00:22.92 -> 00:24.88]  it is moving against the flow of the river,
[00:25.44 -> 00:27.54]  so the stream slows the boat down.
[00:28.08 -> 00:39.02]  That is why we subtract the speed of the stream from the speed of the boat in still water. The formula is upstream speed is equal to speed in still water,
[00:39.50 -> 00:40.92]  minus speed of stream.
[00:41.26 -> 00:42.80]  Now, let us put the given values.
[00:43.30 -> 00:46.26]  Upstream speed is equal to 18 minus four.
[00:46.80 -> 00:56.00]  After simplifying this, we get 14 kilometers per hour. So the upstream speed of the boat is 14 kilometers per hour. Hence,
[00:56.36 -> 00:58.58]  the correct answer is option D.
