[00:00.12 -> 00:01.28]  So welcome back again.
[00:01.82 -> 00:02.98]  Time for one more problem.
[00:03.38 -> 00:05.34]  Now, in this problem, we are given that a boat
[00:05.78 -> 00:08.62]  travels sixty kilometer downstream at a speed of
[00:09.16 -> 00:10.64]  fifteen kilometer per hour.
[00:11.24 -> 00:13.26]  The question is asking us to find the time taken.
[00:13.90 -> 00:16.66]  This is a direct formula-based question.
[00:17.22 -> 00:18.48]  We already know the distance.
[00:18.92 -> 00:20.00]  We also know the speed.
[00:20.46 -> 00:22.52]  So we can directly use the basic formula,
[00:23.10 -> 00:25.30]  time is equal to distance divided by speed.
[00:25.70 -> 00:27.12]  Now, let us put the given values.
[00:27.58 -> 00:29.62]  Time is equal to sixty
[00:30.00 -> 00:31.02]  divided by fifteen.
[00:31.58 -> 00:32.74]  After simplifying this,
[00:33.16 -> 00:34.04]  we get four hours.
[00:34.42 -> 00:34.86]  That's it.
[00:35.54 -> 00:36.16]  Very simple.
[00:36.56 -> 00:39.74]  So the boat takes four hours to travel sixty kilometer downstream.
[00:40.14 -> 00:42.52]  Hence, the correct answer is option B.
