[00:00.10 -> 00:00.32]  So
[00:00.86 -> 00:01.74]  welcome back again.
[00:02.42 -> 00:03.38]  It's time to solve
[00:03.84 -> 00:04.72]  one more problem.
[00:05.44 -> 00:05.62]  Now,
[00:06.04 -> 00:06.78]  in this problem,
[00:07.18 -> 00:08.64]  we are given sine
[00:09.30 -> 00:10.02]  30 degrees
[00:10.48 -> 00:11.22]  and cosine
[00:11.82 -> 00:12.50]  60 degrees.
[00:13.18 -> 00:13.92]  The question is
[00:14.44 -> 00:15.72]  asking us to find their sum.
[00:16.32 -> 00:17.56]  Now, the important point here is
[00:17.94 -> 00:18.10]  that
[00:18.40 -> 00:20.44]  these are standard trigonometric values.
[00:20.90 -> 00:23.16]  We should remember them because they are used very often.
[00:23.68 -> 00:25.54]  Sine 30 degree is equal to one by two,
[00:26.10 -> 00:28.68]  and cosine 60 degree is also equal to one by two.
[00:29.34 -> 00:30.72]  Now that we know both values,
[00:31.20 -> 00:34.02]  let us substitute them into the given expression.
[00:34.38 -> 00:34.80]  So we get
[00:35.40 -> 00:36.92]  one half plus one half,
[00:37.66 -> 00:38.50]  which is equal to one.
[00:39.14 -> 00:39.38]  Done.
[00:39.84 -> 00:41.96]  So the final answer will be one.
[00:42.54 -> 00:42.94]  Hence,
[00:43.30 -> 00:45.72]  the correct option is option B.
