[00:00.14 -> 00:00.34]  So
[00:00.78 -> 00:01.78]  welcome back again.
[00:02.50 -> 00:03.98]  Time for one more problem.
[00:04.62 -> 00:05.42]  Now, in this problem,
[00:06.06 -> 00:09.54]  a plane covers a distance at four hundred fifty kilometer per hour
[00:10.04 -> 00:11.40]  in three point five hours.
[00:12.04 -> 00:13.22]  The question is asking us,
[00:13.68 -> 00:16.50]  if the same distance has to be covered in two hours twenty minutes,
[00:16.88 -> 00:18.44]  then what should be the speed of the plane?
[00:18.84 -> 00:21.94]  So distance is same. Now, we know the formula,
[00:22.52 -> 00:24.96]  distance equal to speed into time.
[00:25.36 -> 00:25.86]  So first,
[00:26.20 -> 00:28.56]  let us find the distance covered by the plane.
[00:28.96 -> 00:35.16]  Given speed is four hundred fifty kilometer per hour and time is three point five hours, which is seven by two hours,
[00:35.56 -> 00:38.58]  so distance will be four hundred fifty into seven by two.
[00:39.16 -> 00:48.18]  After simplifying this, we get one thousand five hundred seventy-five kilometer. Now, the same one thousand five hundred seventy-five kilometer has to be covered in two hours
[00:48.60 -> 00:53.64]  twenty minutes, but we cannot use two hours twenty minutes directly.
[00:54.08 -> 01:01.42]  Twenty minutes means twenty by sixty hours. So two hours twenty minutes becomes two plus twenty by sixty, which is two plus one by three,
[01:01.78 -> 01:03.92]  so it becomes seven by three hours.
[01:04.38 -> 01:10.42]  Now, required speed will be distance, which is one thousand five hundred seventy-five, divided by time,
[01:10.84 -> 01:24.14]  which is seven by three hours. That means one thousand five hundred seventy-five into three by seven. Now, one thousand five hundred seventy-five divided by seven is two hundred twenty-five. So speed becomes two hundred twenty-five into three,
[01:24.68 -> 01:35.22]  which is six hundred seventy-five kilometer per hour. Hence, the required speed is six hundred seventy-five kilometer per hour. So the final answer will be option C.
