[00:00.10 -> 00:01.54]  So welcome back again.
[00:02.04 -> 00:03.44]  Time for one more problem.
[00:03.84 -> 00:04.60]  Now, in this problem,
[00:05.02 -> 00:06.56]  we are given that a boat
[00:07.04 -> 00:09.56]  covers forty-two kilometer upstream
[00:10.04 -> 00:13.66]  at a speed of fourteen kilometer per hour.
[00:14.28 -> 00:17.62]  The question is asking us to find the time required for the journey.
[00:18.18 -> 00:18.64]  Now, first,
[00:19.14 -> 00:20.82]  let us note down the given values.
[00:21.48 -> 00:24.80]  Distance traveled upstream is forty-two kilometer.
[00:25.42 -> 00:29.80]  Upstream speed of the boat is fourteen kilometer per hour.
[00:30.26 -> 00:31.60]  Now, we know the basic formula,
[00:32.14 -> 00:35.60]  time is equal to distance divided by speed.
[00:36.22 -> 00:37.20]  Putting the values,
[00:37.68 -> 00:41.00]  time is equal to forty-two divided by fourteen.
[00:41.70 -> 00:44.12]  After simplifying this, we get three hours.
[00:44.60 -> 00:50.40]  So the boat takes three hours to travel forty-two kilometer upstream.
[00:50.92 -> 00:51.30]  Hence,
[00:51.76 -> 00:54.24]  the correct answer is option D.
