[00:00.14 -> 00:00.28]  So
[00:00.86 -> 00:01.88]  welcome back again.
[00:02.54 -> 00:03.90]  Time for one more problem.
[00:04.50 -> 00:05.28]  Now in this problem,
[00:05.70 -> 00:07.78]  the speed of a truck without stoppages
[00:08.30 -> 00:10.02]  is sixty kilometers per hour.
[00:10.60 -> 00:12.06]  But when we include the stoppages,
[00:12.58 -> 00:15.28]  its average speed becomes fifty kilometers per hour.
[00:15.84 -> 00:20.06]  The question is asking us to find how many minutes the truck stops in one hour.
[00:20.56 -> 00:22.46]  Now let us take a total time of one hour.
[00:23.00 -> 00:27.48]  Without any stoppage, the truck can cover sixty kilometer in one hour.
[00:27.94 -> 00:31.72]  But including the stoppages, it covers only fifty kilometers in the same one hour.
[00:32.20 -> 00:33.32]  So because of the stoppages,
[00:33.76 -> 00:36.88]  the truck covers ten kilometers less.
[00:37.34 -> 00:37.76]  Correct?
[00:38.18 -> 00:44.06]  Now we need to find how much time the truck takes to cover this ten kilometers at its running speed of sixty kilometers per hour.
[00:44.54 -> 00:48.18]  We know that time is equal to distance divided by speed.
[00:48.62 -> 00:51.94]  So the stoppage time is equal to ten divided by sixty hour.
[00:52.48 -> 00:54.62]  This is equal to one by six hour.
[00:55.10 -> 00:56.62]  Now we convert this into minutes.
[00:57.10 -> 01:01.04]  One by six multiplied by sixty gives us ten minutes.
[01:01.48 -> 01:01.88]  Hence,
[01:02.34 -> 01:04.76]  the truck stops for ten minutes in one hour.
[01:05.26 -> 01:08.14]  So the final answer will be option C, ten minutes.
