[00:00.12 -> 00:00.28]  So
[00:01.04 -> 00:02.10]  welcome back again.
[00:02.80 -> 00:03.88]  Time for one more problem.
[00:04.44 -> 00:05.26]  Now in this problem,
[00:05.82 -> 00:06.48]  a tourist
[00:06.88 -> 00:08.98]  travels one hundred twenty kilometer
[00:09.50 -> 00:09.80]  at
[00:10.30 -> 00:11.80]  forty kilometer per hour.
[00:12.28 -> 00:14.22]  Then the next one hundred twenty kilometer
[00:14.88 -> 00:17.78]  is traveled at sixty kilometer per hour.
[00:18.34 -> 00:23.14]  The question is asking us to find the average speed for the total two hundred forty kilometer trip.
[00:23.56 -> 00:24.44]  Now be careful here,
[00:24.88 -> 00:27.08]  we should not directly average forty and sixty.
[00:27.54 -> 00:30.30]  We should not say forty plus sixty divided by two is fifty.
[00:30.78 -> 00:31.10]  Why?
[00:31.54 -> 00:34.98]  Because average speed depends on total distance and total time.
[00:35.36 -> 00:35.90]  So first,
[00:36.28 -> 00:38.38]  we need to find the time taken in both parts.
[00:38.74 -> 00:39.74]  Now we know the formula.
[00:40.36 -> 00:42.76]  Time is equal to distance divided by speed.
[00:43.14 -> 00:48.36]  For the first one hundred twenty kilometer, speed is forty, so time is one hundred twenty divided by forty.
[00:48.74 -> 00:50.00]  That gives us three hours.
[00:50.40 -> 00:56.22]  For the second one hundred twenty kilometer, speed is sixty, so time is one hundred twenty divided by sixty.
[00:56.74 -> 00:57.80]  That gives us two hours.
[00:58.22 -> 01:02.06]  Now total distance is one hundred twenty plus one hundred twenty,
[01:02.56 -> 01:04.30]  which is two hundred forty kilometer.
[01:04.94 -> 01:12.04]  Total time is three plus two, which is five hours. Now average speed is equal to total distance divided by total time.
[01:12.38 -> 01:15.14]  So average speed is two hundred forty divided by five.
[01:15.52 -> 01:17.52]  That gives us forty-eight kilometers per hour.
[01:17.94 -> 01:20.74]  So the final answer will be forty-eight kilometers per hour.
[01:21.22 -> 01:21.62]  Hence,
[01:22.14 -> 01:25.24]  option C, forty-eight kilometers per hour is correct.
