[00:00.12 -> 00:00.28]  So
[00:00.82 -> 00:01.78]  welcome back again.
[00:02.56 -> 00:03.98]  It's time to solve one more problem.
[00:04.46 -> 00:05.14]  Now, in this problem,
[00:05.62 -> 00:08.22]  we are given that two trains are moving in the same direction.
[00:08.80 -> 00:10.20]  The speed of the first train is
[00:10.68 -> 00:12.06]  seventy kilometers per hour,
[00:12.64 -> 00:15.94]  and the speed of the second train is fifty-two kilometers per hour.
[00:16.32 -> 00:20.42]  The question is asking us to find their relative speed.
[00:20.90 -> 00:22.18]  Now, the important words here are
[00:22.74 -> 00:23.54]  same direction.
[00:24.26 -> 00:25.04]  What does this mean?
[00:25.44 -> 00:29.58]  It means both trains are moving one behind the other, so one train is not coming towards the other.
[00:29.96 -> 00:32.78]  Instead, one train is only catching up with the other.
[00:33.18 -> 00:34.00]  Because of this,
[00:34.48 -> 00:35.80]  we do not add the speeds.
[00:36.18 -> 00:40.62]  We always take the difference of their speeds. This is a simple rule to remember.
[00:41.02 -> 00:46.34]  If two objects move in the same direction, relative speed equals difference of their speeds. Got it?
[00:46.84 -> 00:54.74]  Perfect. Now let us put the given values. Relative speed equals seventy minus fifty-two. After subtracting, we get eighteen kilometers per hour.
[00:55.56 -> 00:56.00]  Hence,
[00:56.38 -> 01:00.46]  the relative speed of the two trains is eighteen kilometer per hour.
[01:00.90 -> 01:02.66]  So the final answer will be option C.
