[00:00.12 -> 00:00.92]  So welcome back again.
[00:01.48 -> 00:02.56]  It's time to solve
[00:03.22 -> 00:04.14]  one more problem.
[00:04.70 -> 00:04.88]  Now,
[00:05.58 -> 00:06.27]  in this problem,
[00:06.88 -> 00:08.24]  we have a lighthouse
[00:08.68 -> 00:09.36]  and two ships.
[00:10.02 -> 00:18.70]  Both ships are on the same straight line. The angle of depression from the top of the lighthouse to the ships are thirty degrees
[00:19.28 -> 00:20.46]  and sixty degrees.
[00:21.12 -> 00:24.77]  Also, the distance between the two ships is one hundred twenty meter,
[00:25.36 -> 00:26.35]  and we need to find
[00:26.84 -> 00:28.36]  the height of the lighthouse.
[00:29.08 -> 00:29.74]  Before solving,
[00:30.24 -> 00:32.00]  let us quickly understand the diagram.
[00:32.62 -> 00:32.76]  So,
[00:33.74 -> 00:36.02]  take the height of the lighthouse as
[00:36.78 -> 00:36.86]  h.
[00:37.40 -> 00:39.19]  One ship is closer to the lighthouse
[00:39.62 -> 00:44.53]  and the other ship is farther away. The closer ship has angle of depression
[00:45.10 -> 00:46.08]  sixty degrees.
[00:46.60 -> 00:48.37]  The farther ship has angle of depression
[00:48.88 -> 00:49.34]  thirty
[00:49.76 -> 00:50.22]  degrees.
[00:50.68 -> 00:52.10]  Now here we are sure about
[00:52.60 -> 00:53.36]  one fact:
[00:54.08 -> 00:58.56]  angle of depression and angle of elevation are equal.
[00:59.14 -> 01:01.44]  So instead of working from the top of the lighthouse,
[01:01.88 -> 01:04.00]  we can use the angles at the ships themselves.
[01:04.50 -> 01:08.12]  This makes the problem much easier. So,
[01:08.68 -> 01:11.92]  let the distance of the nearer ship from the lighthouse be x,
[01:12.56 -> 01:16.00]  and let the distance of the farther ship from the lighthouse be y.
[01:16.62 -> 01:19.36]  Since the ships are one hundred twenty meter apart,
[01:19.80 -> 01:20.30]  we can say
[01:20.90 -> 01:23.94]  y minus x is equal to one hundred twenty.
[01:24.50 -> 01:26.94]  Now we need a relation between these distances
[01:27.38 -> 01:28.16]  and the height
[01:28.82 -> 01:28.90]  h.
[01:29.48 -> 01:29.83]  For that,
[01:30.42 -> 01:31.90]  we will use ten,
[01:32.28 -> 01:32.68]  why ten?
[01:33.14 -> 01:36.92]  Because ten directly connects height and base distance.
[01:37.38 -> 01:38.06]  For the nearer ship,
[01:38.50 -> 01:39.20]  ten sixty
[01:39.70 -> 01:41.58]  is equal to h by x,
[01:42.02 -> 01:44.39]  which is root three is equal to h by x,
[01:44.94 -> 01:47.26]  so x equal to h upon root
[01:47.72 -> 01:47.94]  three.
[01:48.64 -> 01:52.04]  Now that we have found x, we can use the same idea for the second ship.
[01:52.70 -> 01:53.42]  For the farther ship,
[01:53.90 -> 01:55.88]  ten thirty is equal to h by y.
[01:56.64 -> 01:59.26]  One by root three is equal to h by y,
[01:59.90 -> 02:01.20]  so y is equal to
[02:01.80 -> 02:02.80]  h root three.
[02:03.40 -> 02:04.38]  Now let's see what we have.
[02:05.08 -> 02:09.46]  We already know that y minus x is equal to one hundred twenty.
[02:10.00 -> 02:10.84]  Putting the values
[02:11.52 -> 02:14.86]  h root three minus h by root three equals to one hundred twenty.
[02:15.48 -> 02:17.74]  Taking h common h times
[02:18.20 -> 02:20.32]  root three minus one by root three
[02:20.94 -> 02:23.20]  is equal to one hundred twenty.
[02:23.74 -> 02:24.78]  After simplifying this,
[02:25.36 -> 02:25.84]  h times
[02:26.38 -> 02:27.36]  two by root three
[02:27.82 -> 02:29.82]  is equal to one hundred twenty.
[02:30.24 -> 02:32.18]  Multiplying both sides by root three
[02:32.64 -> 02:32.80]  to
[02:33.18 -> 02:35.44]  h equals one hundred twenty root three,
[02:35.90 -> 02:36.06]  so
[02:36.68 -> 02:38.74]  h equals sixty root three.
[02:39.52 -> 02:39.86]  Hence,
[02:40.34 -> 02:41.85]  the height of the lighthouse is
[02:42.26 -> 02:43.56]  sixty root three meters.
[02:44.14 -> 02:45.94]  So the final answer will be option B.
