[00:00.10 -> 00:01.46]  So welcome back again.
[00:01.90 -> 00:02.98]  Time for one more problem.
[00:03.52 -> 00:04.26]  Now, in this problem,
[00:04.82 -> 00:07.70]  we are given that two trains are moving in opposite directions.
[00:08.20 -> 00:11.38]  The speed of the first train is forty-five kilometer per hour.
[00:11.96 -> 00:15.06]  The speed of the second train is fifty-five kilometer per hour.
[00:15.64 -> 00:16.40]  The question is
[00:16.90 -> 00:19.12]  asking us to find their relative speed.
[00:19.60 -> 00:23.12]  Now, before using the formula, let us understand one simple concept.
[00:23.58 -> 00:28.90]  Relative speed tells us how fast one object is moving with respect to the other.
[00:29.36 -> 00:32.52]  When two trains move in the same direction, we subtract their speeds.
[00:32.88 -> 00:34.56]  But when they move in opposite directions,
[00:34.94 -> 00:37.76]  they come towards each other, so their speeds get added.
[00:38.08 -> 00:40.56]  This is a direct formula-based question.
[00:41.00 -> 00:45.90]  Relative speed is equal to the sum of both speeds. Now let us put the given values.
[00:46.30 -> 00:54.36]  Relative speed is equal to forty-five plus fifty-five. After adding them, we get one hundred kilometers per hour.
[00:54.76 -> 00:59.36]  So the relative speed of the two trains is one hundred kilometers per hour.
[00:59.80 -> 01:01.68]  Hence, the correct answer is option C.
