[00:00.10 -> 00:00.94]  So welcome back again.
[00:01.48 -> 00:02.48]  It's time to solve
[00:02.96 -> 00:03.78]  one more problem.
[00:04.32 -> 00:05.06]  Now, in this problem,
[00:05.60 -> 00:09.12]  the length of a rectangle increases by 10 percentage
[00:09.76 -> 00:12.06]  and the breadth increases by 20 percentage.
[00:12.72 -> 00:15.78]  We need to find by how much the area increases.
[00:16.36 -> 00:18.10]  What is the area of a rectangle?
[00:18.46 -> 00:21.00]  Area is simply length into breadth.
[00:21.56 -> 00:21.72]  So
[00:22.12 -> 00:24.78]  if both the length and the breadth increase,
[00:25.32 -> 00:27.50]  the area will also increase.
[00:28.22 -> 00:29.32]  To make this very easy,
[00:29.70 -> 00:31.94]  let us assume the original length is one hundred
[00:32.56 -> 00:35.24]  and the original breadth is also one hundred.
[00:35.66 -> 00:39.82]  Then the original area is one hundred times one hundred,
[00:40.20 -> 00:41.24]  equal to ten thousand.
[00:41.62 -> 00:44.22]  Now the length increases by 10 percentage,
[00:44.62 -> 00:54.82]  so the new length becomes one hundred and ten. The breadth increases by 20 percentage, so the new breadth becomes one hundred and twenty. Now let us find the new area.
[00:55.24 -> 01:07.36]  New area equal to one hundred and ten times one hundred and twenty. That is equal to thirteen thousand two hundred. So the increase in area is thirteen thousand two hundred minus ten thousand,
[01:07.74 -> 01:11.68]  equal to three thousand two hundred. Now we only need the percentage increase.
[01:12.04 -> 01:16.70]  Percentage increase equal to three thousand two hundred upon ten thousand into one hundred.
[01:17.12 -> 01:18.02]  After solving this,
[01:18.44 -> 01:19.92]  we get 32 percentage.
[01:20.70 -> 01:25.48]  So the final answer will be 32 percentage, which is option B.
