[00:00.10 -> 00:00.32]  So
[00:00.74 -> 00:01.76]  welcome back again.
[00:02.36 -> 00:03.76]  Time for one more problem.
[00:04.58 -> 00:05.36]  Now in this problem,
[00:05.86 -> 00:07.64]  we are given that the length of the train
[00:08.24 -> 00:09.86]  is one hundred eighty meters.
[00:10.28 -> 00:11.60]  The speed of the train is
[00:12.10 -> 00:13.60]  fifty-four kilometers per hour,
[00:14.20 -> 00:17.68]  and the train takes thirty seconds to completely pass a platform.
[00:18.16 -> 00:18.92]  The question is
[00:19.38 -> 00:21.20]  asking us to find the length
[00:21.68 -> 00:22.54]  of the platform.
[00:22.84 -> 00:25.58]  Now first, let us understand one important concept.
[00:26.04 -> 00:27.64]  When a train crosses a platform,
[00:28.06 -> 00:30.40]  it does not cover only its own length.
[00:30.86 -> 00:35.32]  It covers the length of the train plus the length of the platform.
[00:35.72 -> 00:36.30]  Now first,
[00:36.82 -> 00:39.76]  let us convert the speed into meters per second.
[00:40.20 -> 00:47.20]  We know speed in meters per second is equal to speed in kilometers per hour into five by eighteen.
[00:47.66 -> 00:48.60]  Putting the values,
[00:48.96 -> 00:51.54]  fifty-four into five by eighteen.
[00:52.20 -> 00:54.04]  This gives us fifteen meters per second.
[00:54.52 -> 01:00.36]  Now that we know the speed, we can find the total distance covered in thirty seconds. We know the formula,
[01:00.80 -> 01:02.58]  distance is equal to speed into time.
[01:03.10 -> 01:05.44]  Distance is equal to fifteen into thirty.
[01:05.92 -> 01:07.96]  This gives us four hundred fifty meters.
[01:08.34 -> 01:12.98]  Now, this four hundred fifty meters is the total distance covered while crossing the platform.
[01:13.46 -> 01:22.48]  That means train length plus platform length is equal to four hundred fifty. The train length is already given as one hundred eighty meters.
[01:22.82 -> 01:34.94]  So platform length is equal to four hundred fifty minus one hundred eighty. This gives us two hundred seventy meters. So the length of the platform is two hundred seventy meters. Hence the correct answer is option C.
