[00:00.10 -> 00:00.28]  So
[00:00.80 -> 00:01.76]  welcome back again.
[00:02.42 -> 00:03.56]  Time for one more problem.
[00:04.34 -> 00:05.10]  Now, in this problem,
[00:05.66 -> 00:07.46]  we are given that a cyclist rides
[00:08.00 -> 00:09.26]  thirty-five kilometer
[00:09.84 -> 00:10.80]  in one hour
[00:11.28 -> 00:12.26]  twenty-four minutes.
[00:12.80 -> 00:15.82]  The question is asking us to find the average speed of the cyclist.
[00:16.24 -> 00:16.74]  Now, first,
[00:17.24 -> 00:18.96]  let us note down the given values.
[00:19.52 -> 00:20.90]  Distance covered is thirty-five
[00:21.36 -> 00:21.92]  kilometer.
[00:22.64 -> 00:25.12]  Time taken is one hour twenty-four minutes.
[00:25.56 -> 00:26.86]  But be very sure about one thing,
[00:27.42 -> 00:29.54]  the speed is asked in kilometer per hour,
[00:30.04 -> 00:35.22]  while the time is given in hours and minutes. So before using the formula, we must first convert the time into hours.
[00:35.60 -> 00:42.96]  We know that one hour is equal to sixty minutes, so twenty-four minutes is equal to twenty-four divided by sixty hours,
[00:43.30 -> 00:46.18]  which is equal to two by five hour, and we already have one hour.
[00:46.66 -> 00:49.00]  So total time is equal to one plus two-fifths.
[00:49.32 -> 00:51.92]  That is equal to seven-fifths hours. Got it?
[00:52.46 -> 00:52.78]  Perfect.
[00:53.26 -> 00:54.58]  Now, we know the basic formula,
[00:54.98 -> 01:01.40]  average speed is equal to total distance divided by total time. Putting the values, average speed is equal to thirty-five
[01:01.88 -> 01:03.22]  divided by seven by five.
[01:03.54 -> 01:06.26]  Dividing by a fraction means multiplying by its reciprocal.
[01:06.64 -> 01:10.70]  So thirty-five divided by seven by five becomes thirty-five into five by seven.
[01:11.18 -> 01:14.12]  After simplifying this, we get twenty-five kilometer per hour.
[01:14.62 -> 01:17.30]  So the average speed of the cyclist is twenty-five
[01:17.66 -> 01:17.88]  kilometer
[01:18.56 -> 01:21.60]  per hour. Hence, the correct answer is option A.
